ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
304916,ATT-LT000003,POTATO CORNER,Invoice,MI-Water,IC0045920,GL0046329,2023-01-31,2023-02-08,,,0,-16.00
304902,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,MI-Water,IC0045915,GL0046324,2023-01-31,2023-02-08,,,0,-16.00
304869,ATT-LT000002,MASTER SIOMAI,Invoice,MI-Water,IC0045905,GL0046314,2023-01-31,2023-02-08,,,0,-64.00
304848,ATT-LT000007,ZAGU,Invoice,MI-Water,IC0045897,GL0046306,2023-01-31,2023-02-08,,,0,-80.00
304755,ATT-LT000001,LEYLAM,Invoice,MI-Water,IC0045885,GL0046294,2023-01-31,2023-02-08,,,0,-81.60
305040,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,MI-Water,IC0045942,GL0046351,2023-01-31,2023-02-08,,,0,-84.00
304886,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,MI-Light and Power,IC0045910,GL0046319,2023-01-31,2023-02-08,,,0,-140.00
304901,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,MI-Light and Power,IC0045915,GL0046324,2023-01-31,2023-02-08,,,0,-1062.00
304847,ATT-LT000007,ZAGU,Invoice,MI-Light and Power,IC0045897,GL0046306,2023-01-31,2023-02-08,,,0,-3360.00
304868,ATT-LT000002,MASTER SIOMAI,Invoice,MI-Light and Power,IC0045905,GL0046314,2023-01-31,2023-02-08,,,0,-7720.00
304915,ATT-LT000003,POTATO CORNER,Invoice,MI-Light and Power,IC0045920,GL0046329,2023-01-31,2023-02-08,,,0,-8600.00
304875,ATT-LT000006,TURKS,Invoice,MI-Light and Power,IC0045907,GL0046316,2023-01-31,2023-02-08,,,0,-9682.00
304754,ATT-LT000001,LEYLAM,Invoice,MI-Light and Power,IC0045885,GL0046294,2023-01-31,2023-02-08,,,0,-13020.00
304891,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Income,IC0045912,GL0046321,2023-01-31,2023-02-08,,,0,-18000.00
304877,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,Rent Income,IC0045908,GL0046317,2023-01-31,2023-02-08,,,0,-20000.00
304897,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,Rent Income,IC0045914,GL0046323,2023-01-31,2023-02-08,,,0,-20000.00
304871,ATT-LT000006,TURKS,Invoice,Rent Income,IC0045906,GL0046315,2023-01-31,2023-02-08,,,0,-20000.00
304833,ATT-LT000007,ZAGU,Invoice,Rent Income,IC0045896,GL0046305,2023-01-31,2023-02-08,,,0,-20000.00
304795,ATT-LT000004,GOLDILOCKS,Invoice,MI-Light and Power,IC0045893,GL0046302,2023-01-31,2023-02-08,,,0,-24040.00
304864,ATT-LT000002,MASTER SIOMAI,Invoice,Rent Income,IC0045904,GL0046313,2023-01-31,2023-02-08,,,0,-25000.00
304909,ATT-LT000003,POTATO CORNER,Invoice,Rent Income,IC0045918,GL0046327,2023-01-31,2023-02-08,,,0,-25000.00
304895,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,MI-Light and Power,IC0045913,GL0046322,2023-01-31,2023-02-08,,,0,-26340.00
305033,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,Rent Income,IC0045941,GL0046350,2023-01-31,2023-02-08,,,0,-27000.00
304791,ATT-LT000004,GOLDILOCKS,Invoice,Rent Income,IC0045892,GL0046301,2023-01-31,2023-02-08,,,0,-40000.00
304740,ATT-LT000001,LEYLAM,Invoice,Rent Income,IC0045882,GL0046291,2023-01-31,2023-02-08,,,0,-40000.00
305037,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,MI-Charges,IC0045942,GL0046351,2023-01-31,2023-02-08,,,0,-161920.00
311635,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,MI-Water,IC0046762,GL0047232,2023-02-28,2023-03-08,,,0,-16.00
311649,ATT-LT000003,POTATO CORNER,Invoice,MI-Water,IC0046764,GL0047234,2023-02-28,2023-03-08,,,0,-32.00
311352,ATT-LT000001,LEYLAM,Invoice,MI-Water,IC0046711,GL0047179,2023-02-28,2023-03-08,,,0,-62.40
311494,ATT-LT000002,MASTER SIOMAI,Invoice,MI-Water,IC0046739,GL0047209,2023-02-28,2023-03-08,,,0,-64.00
311442,ATT-LT000007,ZAGU,Invoice,MI-Water,IC0046728,GL0047198,2023-02-28,2023-03-08,,,0,-80.00
311659,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,MI-Water,IC0046766,GL0047236,2023-02-28,2023-03-08,,,0,-84.00
311691,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,MI-Light and Power,IC0046770,GL0047240,2023-02-28,2023-03-08,,,0,-140.00
311430,ATT-LT000004,GOLDILOCKS,Invoice Adjustment,MI-Charges,IC0046717,GL0047187,2023-02-28,2023-03-08,,,600.00,-300.00
311391,ATT-LT000004,GOLDILOCKS,Invoice,MI-Charges,IC0046717,GL0047187,2023-02-28,2023-03-08,,,0,-300.00
311354,ATT-LT000001,LEYLAM,Invoice,MI-Charges,IC0046711,GL0047179,2023-02-28,2023-03-08,,,0,-300.00
311495,ATT-LT000002,MASTER SIOMAI,Invoice,MI-Charges,IC0046739,GL0047209,2023-02-28,2023-03-08,,,0,-300.00
311572,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,MI-Charges,IC0046751,GL0047221,2023-02-28,2023-03-08,,,0,-300.00
311650,ATT-LT000003,POTATO CORNER,Invoice,MI-Charges,IC0046764,GL0047234,2023-02-28,2023-03-08,,,0,-300.00
311692,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,MI-Charges,IC0046770,GL0047240,2023-02-28,2023-03-08,,,0,-300.00
311636,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,MI-Charges,IC0046762,GL0047232,2023-02-28,2023-03-08,,,0,-300.00
311469,ATT-LT000006,TURKS,Invoice,MI-Charges,IC0046734,GL0047204,2023-02-28,2023-03-08,,,0,-300.00
311443,ATT-LT000007,ZAGU,Invoice,MI-Charges,IC0046728,GL0047198,2023-02-28,2023-03-08,,,0,-300.00
311634,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,MI-Light and Power,IC0046762,GL0047232,2023-02-28,2023-03-08,,,0,-880.00
311687,ATT-LT000029,SAVE N EARN WIRELESS,Invoice Adjustment,Rent Income,IC0046768,GL0047238,2023-02-28,2023-03-08,,,0,-2000.00
311441,ATT-LT000007,ZAGU,Invoice,MI-Light and Power,IC0046728,GL0047198,2023-02-28,2023-03-08,,,0,-2760.00
311648,ATT-LT000003,POTATO CORNER,Invoice,MI-Light and Power,IC0046764,GL0047234,2023-02-28,2023-03-08,,,0,-5720.00
311493,ATT-LT000002,MASTER SIOMAI,Invoice,MI-Light and Power,IC0046739,GL0047209,2023-02-28,2023-03-08,,,0,-6440.00
311468,ATT-LT000006,TURKS,Invoice,MI-Light and Power,IC0046734,GL0047204,2023-02-28,2023-03-08,,,0,-8114.00
311351,ATT-LT000001,LEYLAM,Invoice,MI-Light and Power,IC0046711,GL0047179,2023-02-28,2023-03-08,,,0,-10980.00
311567,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,Rent Income,IC0046750,GL0047220,2023-02-28,2023-03-08,,,0,-18000.00
311621,ATT-LT000005,Thirsty Fruit Juices and Drinks,Invoice,Rent Income,IC0046759,GL0047229,2023-02-28,2023-03-08,,,0,-20000.00
311464,ATT-LT000006,TURKS,Invoice,Rent Income,IC0046733,GL0047203,2023-02-28,2023-03-08,,,0,-20000.00
311426,ATT-LT000007,ZAGU,Invoice,Rent Income,IC0046725,GL0047195,2023-02-28,2023-03-08,,,0,-20000.00
311571,ATT-LT000008,MFI-MARCELA CHICKEN,Invoice,MI-Light and Power,IC0046751,GL0047221,2023-02-28,2023-03-08,,,0,-21440.00
311673,ATT-LT000029,SAVE N EARN WIRELESS,Invoice,Rent Income,IC0046768,GL0047238,2023-02-28,2023-03-08,,,0,-22000.00
311389,ATT-LT000004,GOLDILOCKS,Invoice,MI-Light and Power,IC0046717,GL0047187,2023-02-28,2023-03-08,,,0,-23840.00
311485,ATT-LT000002,MASTER SIOMAI,Invoice,Rent Income,IC0046737,GL0047207,2023-02-28,2023-03-08,,,0,-25000.00
311644,ATT-LT000003,POTATO CORNER,Invoice,Rent Income,IC0046763,GL0047233,2023-02-28,2023-03-08,,,0,-25000.00
311652,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,Rent Income,IC0046765,GL0047235,2023-02-28,2023-03-08,,,0,-27000.00
311374,ATT-LT000004,GOLDILOCKS,Invoice,Rent Income,IC0046714,GL0047184,2023-02-28,2023-03-08,,,0,-40000.00
311347,ATT-LT000001,LEYLAM,Invoice,Rent Income,IC0046710,GL0047178,2023-02-28,2023-03-08,,,0,-40000.00
311656,ATT-LT000009,ALTURAS BREAD COTTAGE,Invoice,MI-Charges,IC0046766,GL0047236,2023-02-28,2023-03-08,,,0,-144580.00
